Gene_Symbol,MDAMB468_BREAST_TenPx01,AU565_BREAST_TenPx01,CAL51_BREAST_TenPx01,CAL120_BREAST_TenPx02,JIMT1_BREAST_TenPx03,KPL1_BREAST_TenPx03,CAMA1_BREAST_TenPx04,BT549_BREAST_TenPx07,CAL851_BREAST_TenPx07,MDAMB157_BREAST_TenPx07,MCF7_BREAST_TenPx08,HCC1954_BREAST_TenPx08,T47D_BREAST_TenPx09,ZR751_BREAST_TenPx10,HCC38_BREAST_TenPx11,HCC1500_BREAST_TenPx12,MDAMB436_BREAST_TenPx12,HCC70_BREAST_TenPx13,HCC1143_BREAST_TenPx16,MDAMB453_BREAST_TenPx19,HCC1187_BREAST_TenPx20,HCC2218_BREAST_TenPx21,EFM19_BREAST_TenPx22,MDAMB231_BREAST_TenPx27,CAL120_BREAST_TenPx28,EFM192A_BREAST_TenPx37,HCC1806_BREAST_TenPx14,HCC1395_BREAST_TenPx15,HDQP1_BREAST_TenPx41,HCC1937_BREAST_TenPx18,BT20_BREAST_TenPx24
BUB1,-0.0234454943120002,0.0397546581328653,0.168011764832168,0.150959018984135,0.115551873843219,-0.484966743496943,-0.842154414573767,0.464926029737542,-1.13581321392336,1.04627537540074,,,-0.161362155716331,,0.019047915954045,-0.179078699392757,1.28120845836707,0.0822906526219361,0.189023233403917,-1.17190956043571,0.309564662455935,-0.955956514579166,-0.859265749668476,0.049861316776413,0.958667328342386,,0.114990428660325,-0.868928970606492,-0.187482473814717,0.50684859416094,-0.147275320353695
AURKB,-0.0582785764391929,-0.722529442342764,0.777771643496792,0.405197200491729,-0.0429720722146194,-0.859013152101965,-1.57475754517337,0.596165436084591,-0.608539308283132,0.265651070218226,-0.677526374457484,0.422164318876024,0.205012325857079,-0.643357791798056,0.786839988136393,-0.218990976207447,0.869386269043153,0.952194379002708,1.84353362533183,-0.144725884180895,-0.434065798807209,-1.82324612761531,-0.691457176686944,-0.0412712626418615,1.03203911853852,-1.79028289107845,1.68872534723325,0.0858030094840493,-0.0439562390879209,0.784818431286606,0.479854937149717
CDCA8,0.146511046334992,-0.254919827061039,0.564989351248163,0.351528240639196,0.186106103299091,-0.34457446833391,-1.2829041685746,0.437511312150805,-0.414063290899064,0.248623126400913,-0.510065865503763,0.3518416808858,0.359038981796061,-1.00278768651274,0.855492611392122,-0.0895724308192916,0.284519858511789,0.84163225091727,1.27564418729629,-0.240209395783062,-0.337775634719266,-0.610384020006395,-0.222247025695378,-0.240527470821526,0.82027931804314,0.0395159750299511,1.18020804915628,-0.0152507706823705,0.0127453153583079,0.340105814425854,-0.430071764422933
BIRC5,0.351815775049959,-0.401228544609622,0.647033048927728,0.475563551554074,0.105603835077336,-0.749892861511636,-1.56895118515413,0.15207228334263,0.150354052713317,0.0489137108332193,-0.367535006232856,0.351275540651879,0.159392256850297,-0.824014520482561,0.747289699006219,0.65025225045028,0.450829506396125,1.05150951282581,0.805079067873838,-0.156971269493596,0.472474655201835,-1.24700350720439,,-0.874006387574709,0.693976804540378,0.52755527021146,0.973701689202648,-0.0709648396796724,-0.501863082129094,1.39660696132456,-0.683279216327751
CASC5,-0.123447202777747,-0.239041339663481,0.17687682175402,0.157098592444881,0.260700232092752,-0.893335553791596,-0.769735028052831,0.427672672133629,-1.08030514516164,0.405100549469656,-0.502448455846832,0.291824772364636,0.350593369047799,-0.0285349850491212,0.319735622729585,-0.818075827228261,1.07459272651118,0.946840830233683,1.25662128417043,-0.506671235084441,-0.0250041470106951,-0.93955576970897,0.149713004977984,-0.339741278166928,0.109968536184088,0.263726922417633,1.47845647767618,-0.342401709783144,-0.586185431743738,1.06215638721773,0.412867548244381
SGOL1,,,,,0.272526956859458,-0.161639510567027,0.0776977973499443,0.327033868030234,-0.0849515154916486,0.864438965766893,0.00980196547957013,0.53591118213924,0.606091858735144,,0.284237479857737,0.769589884727316,0.0302783248970901,0.976504359577478,1.62713435498556,,0.16551782210817,-1.68187609061814,,-0.65755661504368,,0.9690766827728,1.54428773451699,-0.0578970034640975,,,-0.734813606434727
TTK,0.853013935889742,-0.117931232701953,-0.321871185955064,0.197435397627511,0.149443596225969,-1.12319819563456,-1.18853783268316,0.565356522299367,-0.237179288801796,0.936025369277588,-0.610876377290503,0.367153824225158,0.368429842981889,0.0158819987255066,-0.457523830993958,-0.822132848786612,1.80412505922601,0.321726724318369,0.335942665544684,-0.349509149791931,0.371996339110662,-0.616246615856418,-0.284481637198985,0.23193906314466,0.64333104252135,-0.369142425620657,-0.113739191367023,0.896795163700154,-0.194308061458635,0.398749078699714,0.307876714887923
GSG2,,,,0.0377161138487502,,,-0.578182980945614,,,,0.0366878733953325,0.328372759223082,-0.160658446046032,,-0.0810528962393986,-0.0710537824569764,-1.4136962418084,,1.73011681968527,,-0.45611140497984,,,-0.154264213412256,,0.679920633239244,,-0.0243520168830327,-0.247555569613752,,0.036266291317525
PLK1,-0.187642470906351,-0.034517115869434,0.171915572954006,-0.12382914154492,-0.0610400557628663,-0.656116099732576,-1.15050938882592,0.255743906458832,-0.449990815909603,0.414700023826364,-0.397449835015028,0.480151740384877,0.780629212095817,0.301658752999026,0.426566237365775,-1.26026395223623,1.27397230636401,1.10462113314975,1.60167438619748,-0.0455651182138623,-0.437905009461322,-0.676130118391295,-0.911527189904468,-0.171927723517231,0.478997255441435,-0.948772634884651,-0.281049257418257,0.128412636839659,-0.453641657346755,0.3243589176064,-0.177042893230426
NDC80,0.475771606034241,-0.548868420947944,0.12587423734224,1.0298795794922,0.207462175892613,-0.822915210419117,-1.06737272900256,0.709207286699347,-0.554802872810992,0.622958493989426,-0.635749798300977,-0.00579661982626672,0.431019452135355,0.577807281455691,-0.0548411176438051,-0.655535352410569,1.54841453666335,0.397408067062603,0.977573732837204,-0.784092556270091,0.463775298914656,-0.507762449417912,-1.11423461578903,0.621160277094463,1.75057233662325,-0.481056101701491,0.0390389852056033,0.400556751779614,-0.059598572185622,-0.0143568639398021,0.643549109768517
INCENP,0.046087309927868,-0.155722826622658,0.654370047088591,0.215478843358185,0.216480646872813,-0.912857646386804,-1.17051487610884,0.570286050334207,-0.408275646080496,0.174137776756383,-0.452503505582456,-0.171363874369178,0.428259312359941,-0.670711802727386,0.308125266882063,0.310516240983946,-0.86684605079208,0.733543958072598,1.01192820423784,-0.108967858653998,0.258406598989582,-1.44426064350894,0.766836134494444,-0.647162150176597,0.438874063393812,0.306816093753511,0.791666191666433,0.494051949905279,-0.287475017054721,0.980561688079125,-0.805689688524862
