Gene_Symbol,CAMA1_BREAST_TenPx04,T47D_BREAST_TenPx09,HCC38_BREAST_TenPx11,HCC1500_BREAST_TenPx12,MDAMB436_BREAST_TenPx12,HCC1143_BREAST_TenPx16,HCC1187_BREAST_TenPx20,MDAMB231_BREAST_TenPx27,HCC1395_BREAST_TenPx15,BT20_BREAST_TenPx24,HCC1937_BREAST_TenPx18
BUB1,-0.842154414573767,-0.161362155716331,0.019047915954045,-0.179078699392757,1.28120845836707,0.189023233403917,0.309564662455935,0.049861316776413,-0.868928970606492,-0.147275320353695,0.50684859416094
AURKB,-1.57475754517337,0.205012325857079,0.786839988136393,-0.218990976207447,0.869386269043153,1.84353362533183,-0.434065798807209,-0.0412712626418615,0.0858030094840493,0.479854937149717,0.784818431286606
CDCA8,-1.2829041685746,0.359038981796061,0.855492611392122,-0.0895724308192916,0.284519858511789,1.27564418729629,-0.337775634719266,-0.240527470821526,-0.0152507706823705,-0.430071764422933,0.340105814425854
BIRC5,-1.56895118515413,0.159392256850297,0.747289699006219,0.65025225045028,0.450829506396125,0.805079067873838,0.472474655201835,-0.874006387574709,-0.0709648396796724,-0.683279216327751,1.39660696132456
CASC5,-0.769735028052831,0.350593369047799,0.319735622729585,-0.818075827228261,1.07459272651118,1.25662128417043,-0.0250041470106951,-0.339741278166928,-0.342401709783144,0.412867548244381,1.06215638721773
SGOL1,0.0776977973499443,0.606091858735144,0.284237479857737,0.769589884727316,0.0302783248970901,1.62713435498556,0.16551782210817,-0.65755661504368,-0.0578970034640975,-0.734813606434727,
TTK,-1.18853783268316,0.368429842981889,-0.457523830993958,-0.822132848786612,1.80412505922601,0.335942665544684,0.371996339110662,0.23193906314466,0.896795163700154,0.307876714887923,0.398749078699714
GSG2,-0.578182980945614,-0.160658446046032,-0.0810528962393986,-0.0710537824569764,-1.4136962418084,1.73011681968527,-0.45611140497984,-0.154264213412256,-0.0243520168830327,0.036266291317525,
PLK1,-1.15050938882592,0.780629212095817,0.426566237365775,-1.26026395223623,1.27397230636401,1.60167438619748,-0.437905009461322,-0.171927723517231,0.128412636839659,-0.177042893230426,0.3243589176064
NDC80,-1.06737272900256,0.431019452135355,-0.0548411176438051,-0.655535352410569,1.54841453666335,0.977573732837204,0.463775298914656,0.621160277094463,0.400556751779614,0.643549109768517,-0.0143568639398021
INCENP,-1.17051487610884,0.428259312359941,0.308125266882063,0.310516240983946,-0.86684605079208,1.01192820423784,0.258406598989582,-0.647162150176597,0.494051949905279,-0.805689688524862,0.980561688079125
