"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","Sum_Active"
0,0,0,0,0,0
1,6.27319661536354e-05,8.51099489314091e-06,2.18568493168356e-12,2.99035772449739e-13,7.1242963531497e-05
2,0.000122835251730889,8.76578822951762e-05,9.8958140269806e-10,7.06190736964585e-10,0.000210494829798204
3,0.000186261397094264,0.000333901061083298,1.02312720407071e-08,1.70357153385384e-08,0.000520189725164941
4,0.000287035499438184,0.000947539236444321,4.25144475921034e-08,1.12354771486377e-07,0.00123472960510158
5,0.000511806542557043,0.00245747362857428,1.44092652233245e-07,4.78231175738812e-07,0.00296990249495929
6,0.00114772896195575,0.00630939090762336,4.83733123029627e-07,1.76364744092546e-06,0.00745936725014307
7,0.00330361355016514,0.0167372181548285,1.69728213300685e-06,6.33619068454395e-06,0.0200488651778112
8,0.0101695289669784,0.0461300737453277,6.15382151150041e-06,2.28872565437212e-05,0.0563286437903613
9,0.0246476483314725,0.119734953407235,2.03017268532761e-05,7.58825822802165e-05,0.144478786047841
10,0.0452514663926495,0.253293614024515,5.26044548604796e-05,0.000199967880471972,0.298797652752497
