"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0,0,0,1.06494568966,0,0,0
1,8.15474135508345e-05,1.01956557862795e-05,1.05372020104403e-05,1.35077256175253e-06,1.02376598631116,0.120592629298256,0.124409506811801,0.0156720410968617
2,0.000159711283963905,9.0106098652568e-05,8.10547204852408e-05,4.57816140576386e-05,0.898741786573341,0.380492560753506,0.341585010555011,0.180958981675423
3,0.00024229892558085,0.000327702519943692,0.000313779742123169,0.00032535097907411,0.765990182865118,0.507810070713321,0.493516473064884,0.461861618152166
4,0.000373770004185774,0.00103528780597512,0.00123778977139508,0.0015856136755804,0.661543843801735,0.504262505092291,0.628562851380701,0.721896997090288
5,0.000667807110383538,0.00348848951709321,0.00570256785967294,0.00741098718495941,0.5858378020885,0.443683983675216,0.77034324390733,0.909936120390063
6,0.00150264143118697,0.0131509197355291,0.0299690778372054,0.0364796242974004,0.530164015308162,0.369238786651816,0.899276286703099,1.01096286648613
7,0.00434033790851921,0.0497435055794717,0.153938384886383,0.172127335611868,0.485854265505444,0.279636053128228,0.92516929089382,0.95963512888118
8,0.0133556594108542,0.124272168495573,0.500405460504447,0.515743352022557,0.444029658383995,0.166025155303879,0.718630671728309,0.671464476128347
9,0.0322601988179828,0.16482957595808,0.820255320445424,0.784579442709465,0.397817587786812,0.0963574756172183,0.528292394990723,0.441663563023661
10,0.0590757372113739,0.165133759268499,0.99043069564888,0.883357245422719,0.346791005061325,0.0721486507079393,0.480953766183797,0.373845617155564
