"Time","Haspina","Haspini","Plk1a","Plk1i"
0,0,0.55071118,0.635706544116,2.542826176464
1,0.23192231101384,0.31878886898616,0.635780197803407,2.54275252277659
2,0.264709499919096,0.286001680080904,0.63595565382098,2.54257706675902
3,0.269377973440521,0.281333206559479,0.636234971195009,2.54229774938499
4,0.270112637385895,0.280598542614105,0.636743025476862,2.54178969510314
5,0.270379519385832,0.280331660614167,0.637907765440579,2.54062495513943
6,0.270860884807842,0.279850295192158,0.641299259330348,2.53723346124965
7,0.272424052027966,0.278287127972034,0.653319176944351,2.52521354363569
8,0.277810287082555,0.272900892917445,0.693907629048276,2.48462509153171
9,0.291190863261763,0.259520316738236,0.786683359274699,2.39184936130526
10,0.31260603520412,0.238105144795879,0.933473906971171,2.24505881360886
