"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i"
0,0.254592400266,0,0,0,0,0,1.018369601064,0,0,0,0,0
1,0.205676435060294,0.100832370843205,0,0,0,0,0.531147868340718,0.432555585360571,0,0,0,0
2,0.210100165271356,0.120022071603769,0,0,0,0,0.449731391790027,0.489346460835283,0,0,0,0
3,0.21438437807441,0.126290465532172,0,0,0,0,0.434212728123642,0.494135684004492,0,0,0,0
4,0.216509488088023,0.128825428653899,0,0,0,0,0.430194146636268,0.493465153617721,0,0,0,0
5,0.21734382653353,0.130036779297534,0,0,0,0,0.428479360420032,0.49312560327795,0,0,0,0
6,0.217294251845707,0.130980375163005,0,0,0,0,0.426681548926246,0.494017071378959,0,0,0,0
7,0.215761127113834,0.13289824949053,0,0,0,0,0.421985565397709,0.498294040103981,0,0,0,0
8,0.210074041221398,0.138733551829643,0,0,0,0,0.406862566840736,0.51316211516316,0,0,0,0
9,0.197275211388666,0.151548138383654,0,0,0,0,0.37278534513054,0.546946989182023,0,0,0,0
10,0.178741013783382,0.169999468744871,0,0,0,0,0.323755080678036,0.595535702141778,0,0,0,0
