"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.210911378661538,0,0
1,0.209812242954129,0.841355220467304,0.00651116373494598
2,0.208728586606375,1.06513038751097,0.00827650183546775
3,0.208109501365223,1.1465182163206,0.00890275864292057
4,0.207801007752727,1.17781417226268,0.00913886552565865
5,0.207655869742331,1.19064560438754,0.00923440846972919
6,0.207589128643479,1.19631570159583,0.00927632077346052
7,0.207557964680692,1.1995950021364,0.00930050122440503
8,0.207540180879301,1.20411342066224,0.00933399298082034
9,0.207520501627843,1.2140722062878,0.00940885027729391
10,0.207489938672435,1.22887685794558,0.00952183206395973
