"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi","Sum_Inactive"
0,0.819188992046154,0,0,0,0.819188992046154
1,0.819123854433649,0,0,0,0.819123854433649
2,0.819046557872077,0,0,0,0.819046557872077
3,0.818954850783427,0,0,0,0.818954850783427
4,0.818846072032509,0,0,0,0.818846072032509
5,0.818717079448393,0,0,0,0.818717079448393
6,0.818564167101295,0,0,0,0.818564167101295
7,0.818382970072721,0,0,0,0.818382970072721
8,0.81816835551739,0,0,0,0.81816835551739
9,0.817914296830838,0,0,0,0.817914296830838
10,0.817613741180059,0,0,0,0.817613741180059
